"A charge flow will be used to process the payment.","Ein Charge Flow wird zur Abwicklung der Zahlung verwendet."
"A manual decision about whether to accept the payment is required.","Eine Entscheidung wird benötigt, ob die Zahlung akzeptiert werden soll."
"Action","Aktion"
"Active","Aktiv"
"Allow customer's to download documents (invoice, refund, packing slip).","Erlauben Sie Kunden, Dokumente herunterzuladen (Rechnung, Rückerstattung, Lieferschein)."
"Allow customer's to download invoice documents.","Erlauben Sie Kunden, Rechnunungsdokumente herunterzuladen."
"Allow customer's to download packing slips.","Erlauben Sie Kunden, Lieferscheine herunterzuladen."
"Application User Id","Applikationsbenutzer-Id"
"Application User Secret Key","Applikationsbenutzer-Schlüssel"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","Solange es eine offene Rechnungskorrektur für den Auftrag gibt, kann keine neue erstellt werden."
"Authorization Amount","Autorisierungsbetrag"
"Authorized","Autorisiert"
"Completed","Abgeschlossen"
"Confirmed","Bestätigt"
"Credit memo has been created automatically","Gutschrift wurde automatisch erstellt"
"Customer Download: Invoice","Kunden-Download: Rechnung"
"Customer Download: Packing Slip","Kunden-Download: Lieferschein"
"Decline","Ablehnen"
"Delete","Löschen"
"Description","Beschreibung"
"Discount","Rabatt"
"Document","Dokument"
"Download Invoice","Rechnung herunterladen"
"Download Packing Slip","Lieferschein herunterladen"
"Download Refund","Rückerstattung herunterladen"
"Email","E-Mail"
"Enabled","Aktiviert"
"Failed","Fehlgeschlagen"
"Failure Reason","Fehlerursache"
"Fulfill","Liefern"
"General","Allgemein"
"Giftcard","Geschenkkarte"
"Hold Delivery","Lieferung halten"
"Inactive","Inaktiv"
"Manage Wallee Tokens","Wallee Tokens verwalten"
"Name","Name"
"No","Nein"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","Nur eine Rechnung ist erlaubt. Um die Rechnung zu ändern, müssen Sie die vorhandene zuerst stornieren."
"Payment Method","Zahlungsmethode"
"Pending","Ausstehend"
"Processing","In Verarbeitung"
"Rounding Adjustment","Rundungseinstellung"
"Send Order Email","Bestellungs-E-Mail senden"
"Send Refund Request","Rückerstattungs-E-Mail senden"
"Send the Magento store's order email.","Das Bestellungs-E-Mail des Magento-Shops senden."
"Show Description","Beschreibung anzeigen"
"Show Image","Bild anzeigen"
"Show the payment method's description on the checkout page.","Die Zahlungsmethodenbeschreibung im Checkout anzeigen."
"Show the payment method's image on the checkout page.","Das Logo der Zahlungsart im Checkout anzeigen."
"Sort Order","Sortierreihenfolge"
"Space Id","Space Id"
"Space View Id","Space View Id"
"State","Status"
"Synchronizing with wallee failed:","Synchronisieren mit wallee schlug fehl:"
"The Application User needs to have full permissions in all spaces this shop is linked to.","Der Applikationsbenutzer benötigt volle Berechtigung in allen Spaces, mit denen dieser Shop verlinkt ist."
"The capture has already been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","Der Capture wurde bereits angefordert, konnte aber noch nicht abgeschlossen werden. Die Rechnung wird aktualisiert, sobald der Capture abgeschlossen ist."
"The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","Der Capture wurde angefordert, konnte aber noch nicht abgeschlossen werden. Die Rechnung wird aktualisiert, sobald der Capture abgeschlossen ist."
"The capture of the invoice failed on the gateway.","Der Capture konnte beim Gateway nicht abgeschlossen werden."
"The customer can be charged by using an existing token. If left empty, no token is used.","Der Kunde kann mit einem vorhandenen Token belastet werden. Wenn die Auswahl leer bleibt, wird kein Token verwendet."
"The invoice cannot be cancelled.","Die Rechnung kann nicht storniert werden."
"The invoice cannot be created.","Die Rechnung kann nicht angelegt werden."
"The order can be fulfilled now.","Die Bestellung kann jetzt geliefert werden."
"The order should not be fulfilled yet, as the payment is not guaranteed.","Die Bestellung sollte noch nicht geliefert werden, da die Zahlung nicht garantiert ist."
"The refund was requested successfully, but is still pending on the gateway.","Die Rückerstattung wurde erfolgreich angefordert, ist aber immer noch hängig beim Gateway."
"The token has been deleted.","Das Token wurde gelöscht."
"The void of the payment failed on the gateway.","Die Stornierung ist beim Gateway fehlgeschlagen."
"The payment process could not have been finished successfully.","Der Zahlungsprozess konnte nicht erfolgreich abgeschlossen werden."
"There are %s manual tasks that need your attention.","Es gibt %s manuelle Aufgaben, die Ihre Aufmerksamkeit benötigen."
"There has been an error while sending the refund to the gateway.","Es gab einen Fehler beim Senden der Rückerstattung an das Gateway."
"There is a manual task that needs your attention.","Es gibt eine manuelle Aufgabe, die Ihre Aufmerksamkeit benötigt."
"This order has a pending refund request.","Dieser Auftrag hat eine ausstehende Rückerstattungsanforderung."
"Title","Titel"
"To use this extension, a wallee account is required. Sign up on <a href=""https://wallee.com/"" target=""_blank"">wallee.com</a>.","Um diese Erweiterung nutzen zu können, wird ein wallee-Konto benötigt. Anmelden unter <a href=""https://wallee.com/"" target=""_blank"">wallee.com</a>."
"Token ID","Token ID"
"Token:","Token:"
"Transaction State","Status der Transaktion"
"Transaction","Transaktion"
"View in Wallee","In Wallee ansehen"
"Voided","Annulliert"
"Wallee Payment","Wallee Payment"
"Wallee Tokens","Wallee Tokens"
"Wallee:","Wallee:"
"Yes","Ja"
