"A charge flow will be used to process the payment.","A charge flow will be used to process the payment."
"A manual decision about whether to accept the payment is required.","A manual decision about whether to accept the payment is required."
"Action","Action"
"Active","Active"
"Allow customer's to download invoice documents.","Allow customer's to download invoice documents."
"Allow customer's to download packing slips.","Allow customer's to download packing slips."
"Application User Id","Application User Id"
"Application User Key","Application User Key"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","As long as there is an open creditmemo for the order, no new creditmemo can be created."
"Authorization Amount","Authorization Amount"
"Authorized","Authorized"
"Completed","Completed"
"Confirmed","Confirmed"
"Credit memo has been created automatically","Credit memo has been created automatically"
"Customer Download: Invoice","Customer Download: Invoice"
"Customer Download: Packing Slip","Customer Download: Packing Slip"
"Decline","Decline"
"Delete","Delete"
"Description","Description"
"Discount","Discount"
"Document","Document"
"Download Invoice","Download Invoice"
"Download Packing Slip","Download Packing Slip"
"Download Refund","Download Refund"
"Email","Email"
"Enabled","Enabled"
"Failed","Failed"
"Fulfill","Fulfill"
"General","General"
"Giftcard","Giftcard"
"Hold Delivery","Hold Delivery"
"Inactive","Inactive"
"Manage Wallee Tokens","Manage Wallee Tokens"
"Name","Name"
"No","No"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","Only one invoice is allowed. To change the invoice, cancel the existing one first."
"Payment Method","Payment Method"
"Pending","Pending"
"Processing","Processing"
"Rounding Adjustment","Rounding Adjustment"
"Send Order Email","Send Order Email"
"Send Refund Request","Send Refund Request"
"Send the Magento store's order email.","Send the Magento store's order email."
"Show Description","Show Description"
"Show Image","Show Image"
"Show the payment method's description on the checkout page.","Show the payment method's description on the checkout page."
"Show the payment method's image on the checkout page.","Show the payment method's image on the checkout page."
"Sort Order","Sort Order"
"Space Id","Space Id"
"Space View Id","Space View Id"
"State","State"
"Synchronizing with wallee failed:","Synchronizing with wallee failed:"
"The Application User needs to have full permissions in all spaces this shop is linked to.","The Application User needs to have full permissions in all spaces this shop is linked to."
"The capture has already been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","The capture has already been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done."
"The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done."
"The capture of the invoice failed on the gateway.","The capture of the invoice failed on the gateway."
"The customer can be charged by using an existing token. If left empty, no token is used.","The customer can be charged by using an existing token. If left empty, no token is used."
"The invoice cannot be cancelled.","The invoice cannot be cancelled."
"The invoice cannot be created.","The invoice cannot be created."
"The order can be fulfilled now.","The order can be fulfilled now."
"The order should not be fulfilled yet, as the payment is not guaranteed.","The order should not be fulfilled yet, as the payment is not guaranteed."
"The refund was requested successfully, but is still pending on the gateway.","The refund was requested successfully, but is still pending on the gateway."
"The token has been deleted.","The token has been deleted."
"The void of the payment failed on the gateway.","The void of the payment failed on the gateway."
"There are %s manual tasks that need your attention.","There are %s manual tasks that need your attention."
"There has been an error while sending the refund to the gateway.","There has been an error while sending the refund to the gateway."
"There is a manual task that needs your attention.","There is a manual task that needs your attention."
"This order has a pending refund request.","This order has a pending refund request."
"Title","Title"
"To use this extension, a wallee account is required. Sign up on <a href=""https://wallee.com/"" target=""_blank"">wallee.com</a>.","To use this extension, a wallee account is required. Sign up on <a href=""https://wallee.com/"" target=""_blank"">wallee.com</a>."
"Token ID","Token ID"
"Token:","Token:"
"Transaction State","Transaction State"
"Transaction","Transaction"
"View in Wallee","View in Wallee"
"Voided","Voided"
"Wallee Payment","Wallee Payment"
"Wallee Tokens","Wallee Tokens"
"Wallee:","Wallee:"
"Yes","Yes"
